zone	easting	northing	name
16T	431539.06	5190877.73	osvi5048.2
16T	431364.98	5190770.85	osvi3128.3
16T	431359.12	5190827.52	acsa3788.3
16T	431333.17	5190877.27	tsca258.4
16T	431398.73	5190820.38	osvi5098.4
16T	431385.88	5190903.73	osvi8118.4
16T	431432.31	5190903.7	osvi4048.4
16T	431494.54	5190828.18	tsca3698.4
16T	431498.59	5190860.83	osvi5268.4
16T	431335.46	5190816.76	acsa2168.5
16T	431392	5190805.95	osvi4518.5
16T	431492.04	5190846.74	tsca5028.5
16T	431520.59	5190934.66	osvi6618.5
16T	431318.96	5190863.49	tsca608.6
16T	431369.54	5190779.34	osvi3448.6
16T	431418.68	5190903.12	osvi9388.6
16T	431531.79	5190906.77	osvi6858.6
16T	431317.25	5190857.64	tsca438.7
16T	431316.11	5190850.2	tsca2788.7
16T	431329.58	5190812.58	acsa2188.7
16T	431375.79	5190776.66	acsa3288.7
16T	431375.41	5190819.27	osvi4348.7
16T	431380.25	5190882.21	osvi888.7
16T	431360.63	5190768.48	osvi3098.8
16T	431373.91	5190883.48	osvi918.8
16T	431410.71	5190877.32	osvi4148.8
16T	431429.66	5190862.8	osvi4328.8
16T	431458.44	5190875.63	osvi9268.8
16T	431496.73	5190950.7	tsca6218.8
16T	431532.85	5190923.05	osvi6728.8
16T	431325.74	5190829.43	osvi2598.9
16T	431347.86	5190783.38	acsa2258.9
16T	431399.01	5190812.09	acsa5138.9
16T	431418.72	5190898.25	osvi9368.9
16T	431460.06	5190860.29	tsca9228.9
16T	431488.63	5190887.8	tsca5778.9
16T	431357.93	5190766	osvi3069
16T	431371.14	5190783.18	osvi3379
16T	431507.88	5190846.68	osvi5819
16T	431503.15	5190884.52	tsca6859
16T	431412.65	5190874.74	osvi4219.1
16T	431416.59	5190875.22	osvi4459.1
16T	431541.53	5190883.44	osvi6889.1
16T	431324.55	5190835.11	osvi2589.2
16T	431367.24	5190844.79	osvi4249.2
16T	431542.2	5190901.09	tsca8319.2
16T	431372.85	5190800.39	acsa3509.3
16T	431365.18	5190895.04	osvi779.3
16T	431387	5190874.31	osvi5229.3
16T	431362.49	5190776.99	acsa3169.4
16T	431392.49	5190782.39	acsa4669.4
16T	431391.51	5190870.16	osvi5279.4
16T	431378.92	5190789.57	osvi3349.5
16T	431367.02	5190895.76	osvi789.5
16T	431482.58	5190902.39	tsca6109.5
16T	431492.68	5190842.16	tsca5079.5
16T	431513.34	5190884.75	osvi6789.5
16T	431528.83	5190897.93	tsca5399.5
16T	431393.82	5190801.9	osvi4499.6
16T	431478.96	5190845.82	osvi3929.6
16T	431428.74	5190894.53	osvi4819.7
16T	431503.83	5190849.15	tsca5139.7
16T	431334.16	5190876.85	tsca179.8
16T	431357.53	5190800.69	osvi3589.8
16T	431461.26	5190880.92	osvi9249.8
16T	431463.56	5190864.62	tsca9199.9
16T	431481.17	5190838.14	tsca3879.9
16T	431505.82	5190846.15	osvi5109.9
16T	431498.02	5190879.37	tsca6919.9
16T	431315.91	5190855.52	tsca4510
16T	431377.74	5190780.12	acpe32910
16T	431395.05	5190796.82	acsa47510
16T	431372.04	5190863.95	osvi51510
16T	431456.48	5190832.35	osvi32410
16T	431360.76	5190826.19	acsa37610.1
16T	431350.13	5190825.35	osvi37910.1
16T	431440.61	5190802.6	osvi27910.1
16T	431458.31	5190857.19	osvi31810.1
16T	431501.48	5190908.23	tsca71710.1
16T	431508.3	5190901.28	osvi58110.1
16T	431531.17	5190889.99	tsca54610.1
16T	431349.71	5190868.8	osvi7510.2
16T	431412.91	5190860.15	acsa54310.2
16T	431478.58	5190866.01	tsca90710.2
16T	431526.62	5190922.22	osvi66910.2
16T	431355.83	5190876.02	osvi7210.3
16T	431470.29	5190925.24	osvi77510.3
16T	431377.8	5190785.3	osvi33110.4
16T	431427.62	5190849.09	osvi42910.4
16T	431350.22	5190808.37	acsa21310.5
16T	431352.79	5190769.94	acsa30110.5
16T	431379.25	5190846.63	acsa62510.5
16T	431428.16	5190874.35	acsa43910.5
16T	431515.44	5190928.04	acsa57710.5
16T	431521.44	5190922.46	osvi66510.5
16T	431334.79	5190835.46	osvi25210.6
16T	431365.08	5190772.19	osvi31310.6
16T	431382.92	5190868.45	osvi51810.6
16T	431411.43	5190830.95	tsca55710.7
16T	431461.29	5190837.75	osvi33410.7
16T	431467.85	5190912.57	tsca62510.7
16T	431497.61	5190823.85	tsca59710.7
16T	431352.63	5190783.71	acsa22910.8
16T	431383.02	5190901.26	osvi81310.8
16T	431403.44	5190894.12	abba69810.8
16T	431430.24	5190886.07	tsca45910.8
16T	431445.41	5190891.27	tsca47010.8
16T	431495.47	5190943.49	tsca61210.8
16T	431334.94	5190884.1	osvi1510.9
16T	431462.54	5190927.24	tsca78810.9
16T	431490.12	5190942.95	tsca75910.9
16T	431507.14	5190876.73	tsca66910.9
16T	431537.47	5190873.08	osvi50710.9
16T	431346.61	5190802.14	acsa21011
16T	431359.94	5190774.72	osvi31511
16T	431396.84	5190869.64	osvi53011
16T	431412.08	5190913.74	osvi94311
16T	431331.11	5190808.63	osvi22011.1
16T	431346.68	5190780.35	acsa22411.1
16T	431447.98	5190818.54	acsa29711.1
16T	431521.28	5190902.86	tsca57011.1
16T	431541.17	5190870.48	osvi50911.1
16T	431438.7	5190868.14	osvi48511.3
16T	431507.74	5190882.79	osvi67611.3
16T	431497.21	5190875.37	tsca69511.3
16T	431526.59	5190948.74	osvi65111.3
16T	431344.25	5190806.54	tsca21111.4
16T	431360.57	5190838.13	tsca39111.4
16T	431499.55	5190864.63	tsca52411.4
16T	431480.73	5190936.07	belu76611.4
16T	431503.47	5190912	osvi58711.4
16T	431345.29	5190827.31	tsca38611.5
16T	431345.62	5190827.81	tsca38511.5
16T	431447.17	5190823.02	tsca40711.5
16T	431472.28	5190929.21	belu78011.5
16T	431549.83	5190892.72	tsca86411.5
16T	431451.87	5190870.73	tsca48811.6
16T	431352.04	5190851.22	tsca28311.7
16T	431352.67	5190832.68	tsca38911.7
16T	431466.19	5190862.79	tsca92011.7
16T	431484.66	5190849.79	acsa39311.7
16T	431513.94	5190929.43	osvi57811.7
16T	431528.61	5190894.23	tsca54111.7
16T	431337.75	5190834.64	osvi25111.8
16T	431328.8	5190814.1	osvi22211.8
16T	431334.72	5190866.69	tsca2111.8
16T	431440.23	5190885.14	osvi46311.8
16T	431497.6	5190881.28	tsca69011.8
16T	431423.46	5190898.75	osvi93711.9
16T	431456.88	5190854.67	osvi30911.9
16T	431374.88	5190792.08	acsa34812
16T	431414.43	5190899.75	abba93412
16T	431437.81	5190819.59	osvi40612
16T	431430.26	5190921.8	osvi41012
16T	431448.59	5190836.15	tsca34412
16T	431441.33	5190923.07	osvi92612
16T	431507.08	5190846.93	tsca51112
16T	431502.04	5190951.19	tsca62712
16T	431431.51	5190875.12	acsa43812.1
16T	431469.2	5190811.54	osvi35012.1
16T	431532.52	5190898.85	osvi82112.1
16T	431448.59	5190836.15	tsca34512.2
16T	431528.94	5190941.57	osvi65912.2
16T	431342.36	5190802.23	osvi20812.3
16T	431406.67	5190904.34	tsca94912.3
16T	431408.68	5190883.91	osvi45712.3
16T	431463.56	5190820.03	osvi35712.3
16T	431466.3	5190827.13	osvi35812.4
16T	431480.88	5190814.76	tsca36212.4
16T	431451.53	5190872.17	tsca48912.5
16T	431478.17	5190883.11	tsca57112.5
16T	431327.73	5190874.66	tsca1412.6
16T	431426.84	5190905.25	osvi40212.6
16T	431460.64	5190893.95	osvi95412.6
16T	431482.73	5190817.05	tsca36612.6
16T	431495.26	5190875.66	tsca57612.6
16T	431498.92	5190898.26	tsca71812.6
16T	431336.43	5190829.25	osvi25012.7
16T	431339.76	5190803.66	tsca20912.7
16T	431359.73	5190813.25	tsca36512.7
16T	431470.43	5190903.52	tsca60512.7
16T	431453.74	5190871.55	tsca49012.8
16T	431503.18	5190901.04	tsca71312.8
16T	431491.63	5190950.17	tsca61812.8
16T	431332.83	5190878.78	tsca1112.9
16T	431347.35	5190819.41	acsa38112.9
16T	431492.68	5190949.87	tsca61912.9
16T	431517.83	5190904.88	tsca60012.9
16T	431508.81	5190853.39	tsca63013
16T	431518.67	5190906.01	tsca56713
16T	431470.78	5190880.13	tsca93413.1
16T	431516.18	5190907.99	tsca55813.1
16T	431438.42	5190914.3	osvi93013.2
16T	431478.16	5190923.32	tsca77813.2
16T	431368.38	5190886.38	acsa9913.3
16T	431444.55	5190907.69	osvi57213.4
16T	431487	5190888.92	tsca57813.4
16T	431477.04	5190892	tsca59413.5
16T	431479.01	5190890.16	tsca59613.5
16T	431529.97	5190865.19	tsca52513.6
16T	431448.37	5190866.84	tsca48713.7
16T	431458.77	5190890.16	tsca94313.7
16T	431490.07	5190840.02	tsca50513.7
16T	431522.8	5190891.69	tsca53313.7
16T	431365.67	5190809.68	acsa36613.8
16T	431482.1	5190839.01	tsca38813.8
16T	431519	5190854.62	tsca63913.8
16T	431519.67	5190869.33	tsca64613.8
16T	431498.03	5190882.3	tsca68913.9
16T	431532.99	5190901.67	osvi68613.9
16T	431316.45	5190855.86	tsca4414
16T	431364.47	5190811.02	acsa36714
16T	431436.45	5190867.87	tsca48414
16T	431534.57	5190858.44	tsca52014
16T	431544.51	5190906.83	tsca82614
16T	431498.33	5190851.34	acsa50914.1
16T	431452.12	5190908.22	tsca95914.2
16T	431488.55	5190946.43	tsca76114.2
16T	431542.09	5190919.43	osvi69714.2
16T	431434.1	5190901.75	osvi40514.3
16T	431490.66	5190852.38	tsca53214.3
16T	431512.45	5190950.8	osvi63814.3
16T	431351.23	5190856.22	tsca28514.4
16T	431378.45	5190887.11	osvi8614.4
16T	431388.9	5190839.04	acsa61114.5
16T	431526.38	5190896.89	tsca53614.5
16T	431464.5	5190829.1	tsca32814.6
16T	431320.61	5190876.21	tsca3314.7
16T	431356.49	5190770.68	acsa30714.7
16T	431324.83	5190874.33	tsca914.7
16T	431362.57	5190870.41	tsca40614.7
16T	431429.07	5190800.99	acsa27414.7
16T	431446.81	5190912.95	osvi57114.7
16T	431484.16	5190922.92	tsca73914.7
16T	431520.64	5190854.37	tsca64014.7
16T	431314.22	5190865.78	tsca5814.8
16T	431449.05	5190924.1	osvi80014.8
16T	431481.51	5190895.46	tsca58614.9
16T	431489.65	5190910.52	osvi72214.9
16T	431507.61	5190858.5	tsca65714.9
16T	431334.94	5190803.84	acsa20515
16T	431334.65	5190877	tsca1815
16T	431365.63	5190784.97	osvi33915
16T	431377.61	5190897.62	osvi8215
16T	431447.89	5190834.15	osvi41015
16T	431437.8	5190923.7	tsca92815
16T	431469.32	5190912.05	tsca62315
16T	431488.01	5190865.33	tsca54015
16T	431496.32	5190826.18	tsca59915
16T	431502.73	5190951.75	tsca62815
16T	431530.95	5190942.94	tsca65715
16T	431404.81	5190908.59	abba94715.1
16T	431477.87	5190923.39	tsca77715.1
16T	431492	5190845.85	tsca50315.1
16T	431502.12	5190832.09	tsca58515.1
16T	431494.57	5190870.35	tsca54915.2
16T	431502.28	5190924.7	osvi59015.2
16T	431322.46	5190872.4	tsca3715.3
16T	431502.95	5190853.97	tsca51615.3
16T	431439.72	5190885.09	tsca46215.4
16T	431449.18	5190894.79	osvi94815.4
16T	431493.96	5190876.13	tsca57515.4
16T	431508.58	5190906.44	tsca56015.4
16T	431344.48	5190787.75	acsa22615.5
16T	431499.65	5190864.28	tsca52315.5
16T	431491.19	5190945.63	belu61115.5
16T	431318.9	5190852.41	tsca27515.6
16T	431329.64	5190816.97	tsca24315.6
